device_id,c4dl1ugrrn3jpjqie3bg
model,8143
serial,81432124044
friendlyName,Rural Birjung (CDES 2)
is_indoor,False
latitude,27.1383306
longitude,84.9386777

Timestamp,PM1.0,PM2.5,Applied PM2.5 Custom Calibration Factor,PM4.0,PM10,Applied PM10 Custom Calibration Factor,PM0.5 NC,PM1.0 NC,PM2.5 NC,PM4.0 NC,PM10 NC,Typical Particle Size,PM Sensor Status,Temperature,Relative Humidity,Device Status
UTC,ug/m3,ug/m3,,ug/m3,ug/m3,,#/cm3,#/cm3,#/cm3,#/cm3,#/cm3,um,,Celsius,%,
01/01/2022 01:43,184,197,,199,199,,1958,2312,2327,2329,2329,0.61,0,13.6,94,1
01/01/2022 01:58,130,137,,138,138,,1363,1607,1615,1616,1616,0.59,0,15.4,86,0
01/01/2022 02:13,108,114,,115,115,,1125,1328,1335,1336,1336,0.61,0,15.7,84,0
01/01/2022 02:28,203,217,,219,219,,2120,2503,2519,2520,2521,0.61,0,15.9,83,0
01/01/2022 02:43,132,141,,142,143,,1367,1614,1625,1626,1626,0.63,0,16.3,82,0
01/01/2022 02:58,114,122,,123,123,,1179,1392,1401,1402,1403,0.63,0,16.4,82,0
01/01/2022 03:13,108,116,,117,118,,1123,1327,1336,1337,1337,0.63,0,16.4,82,0
01/01/2022 03:28,105,113,,115,115,,1088,1286,1295,1296,1296,0.63,0,16.6,82,0
01/01/2022 03:43,104,113,,115,116,,1065,1261,1272,1274,1274,0.65,0,16.7,81,0
01/01/2022 03:58,118,129,,132,133,,1204,1427,1440,1442,1443,0.66,0,17.0,81,0
01/01/2022 04:13,115,125,,128,128,,1174,1390,1402,1404,1404,0.65,0,17.4,80,0
01/01/2022 04:28,100,110,,113,114,,1021,1211,1223,1224,1225,0.65,0,17.8,79,0
01/01/2022 04:43,104,114,,118,119,,1051,1248,1261,1263,1264,0.66,0,18.0,78,0
01/01/2022 04:58,104,115,,119,119,,1047,1244,1257,1259,1260,0.67,0,18.1,78,0
01/01/2022 05:26,100,112,,117,118,,1016,1209,1224,1226,1227,0.67,0,17.4,80,9
01/01/2022 05:41,128,145,,154,155,,1281,1529,1551,1555,1556,0.69,0,17.9,78,0
01/01/2022 05:56,121,135,,141,143,,1211,1441,1459,1462,1463,0.68,0,18.3,77,0
01/01/2022 06:11,104,116,,121,121,,1043,1240,1255,1257,1258,0.67,0,18.5,77,0
01/01/2022 06:26,114,130,,138,139,,1133,1353,1374,1377,1378,0.69,0,18.5,76,0
01/01/2022 06:41,104,119,,125,126,,1043,1244,1263,1266,1266,0.69,0,18.4,76,0
01/01/2022 06:56,108,123,,129,131,,1083,1292,1310,1313,1314,0.68,0,18.3,77,0
01/01/2022 07:11,116,132,,140,141,,1163,1387,1408,1411,1412,0.69,0,18.5,76,0
01/01/2022 07:26,130,144,,150,152,,1303,1549,1568,1570,1571,0.67,0,18.4,76,0
01/01/2022 07:41,136,155,,165,166,,1358,1621,1646,1650,1651,0.69,0,18.5,76,0
01/01/2022 07:56,105,121,,128,129,,1049,1254,1273,1277,1277,0.69,0,18.5,75,0
01/01/2022 08:19,105,120,,127,129,,1054,1258,1277,1280,1281,0.69,0,18.3,76,1
01/01/2022 08:34,109,123,,130,131,,1090,1300,1319,1322,1322,0.69,0,18.2,76,0
01/01/2022 08:49,104,117,,123,124,,1041,1240,1257,1260,1261,0.69,0,18.3,76,0
01/01/2022 09:04,106,118,,122,123,,1064,1265,1280,1282,1283,0.67,0,18.5,75,0
01/01/2022 09:19,93,105,,110,111,,932,1110,1125,1127,1127,0.68,0,18.7,74,0
01/01/2022 09:34,98,110,,115,116,,979,1166,1181,1184,1184,0.68,0,18.6,74,0
01/01/2022 09:49,107,120,,126,127,,1077,1283,1299,1302,1302,0.68,0,18.4,75,0
01/01/2022 10:04,122,135,,140,141,,1232,1463,1480,1482,1483,0.67,0,18.3,76,0
01/01/2022 10:19,146,160,,165,166,,1476,1751,1768,1771,1771,0.66,0,18.2,76,0
01/01/2022 10:34,154,167,,171,171,,1560,1848,1864,1866,1866,0.65,0,18.1,76,0
01/01/2022 10:49,240,258,,262,263,,2448,2894,2915,2918,2919,0.63,0,18.1,76,0
01/01/2022 11:04,262,277,,278,278,,2680,3161,3178,3180,3180,0.6,0,18.0,76,0
01/01/2022 11:19,293,312,,313,313,,3006,3546,3566,3568,3569,0.6,0,18.0,76,0
01/01/2022 11:34,300,320,,323,323,,3071,3626,3648,3651,3652,0.62,0,17.9,76,0
01/01/2022 11:49,338,361,,364,364,,3466,4092,4118,4120,4121,0.6,0,17.7,77,0
01/01/2022 12:04,183,195,,197,197,,1884,2223,2236,2237,2238,0.6,0,17.6,77,0
01/01/2022 12:19,370,394,,396,396,,3796,4480,4506,4509,4510,0.61,0,17.6,77,0
01/01/2022 12:34,239,266,,276,278,,2432,2890,2923,2928,2929,0.67,0,17.5,77,0
01/01/2022 12:49,161,178,,184,185,,1634,1940,1962,1965,1965,0.67,0,17.4,77,0
01/01/2022 13:04,120,132,,136,136,,1223,1450,1465,1467,1468,0.66,0,17.2,78,0
01/01/2022 13:19,107,118,,122,123,,1084,1288,1302,1304,1304,0.67,0,17.4,78,0
01/01/2022 13:34,123,135,,138,139,,1255,1488,1502,1504,1505,0.66,0,17.4,78,0
01/01/2022 13:49,96,105,,109,110,,976,1158,1170,1172,1172,0.66,0,17.3,78,0
01/01/2022 14:04,110,121,,126,126,,1119,1328,1343,1345,1345,0.67,0,17.3,78,0
01/01/2022 14:19,97,109,,115,116,,984,1173,1189,1191,1192,0.69,0,17.2,79,0
01/01/2022 14:34,131,144,,149,150,,1337,1586,1603,1605,1606,0.67,0,17.2,79,0
01/01/2022 14:49,94,105,,110,111,,949,1130,1145,1147,1148,0.68,0,17.3,78,0
01/01/2022 15:04,154,172,,179,180,,1563,1859,1881,1885,1885,0.68,0,17.2,79,0
01/01/2022 15:19,96,107,,112,113,,976,1161,1175,1177,1178,0.68,0,17.3,78,0
01/01/2022 15:34,71,81,,85,86,,721,860,872,874,875,0.69,0,17.2,78,0
01/01/2022 15:49,70,79,,83,84,,703,839,852,853,854,0.69,0,17.1,79,0
01/01/2022 16:04,54,63,,69,70,,541,649,662,664,664,0.72,0,17.0,79,0
01/01/2022 16:19,51,60,,65,66,,507,609,621,624,624,0.72,0,17.0,79,0
01/01/2022 16:34,47,56,,61,62,,473,569,581,583,583,0.73,0,16.8,80,0
01/01/2022 16:49,43,49,,53,53,,436,521,529,531,531,0.7,0,16.5,81,0
01/01/2022 17:04,44,51,,54,55,,445,532,540,542,542,0.7,0,16.6,81,0
01/01/2022 17:19,42,49,,52,53,,425,509,518,520,520,0.7,0,16.8,80,0
01/01/2022 17:34,42,49,,53,54,,422,506,515,517,517,0.71,0,16.9,80,0
01/01/2022 17:49,41,49,,53,54,,415,499,509,511,511,0.72,0,16.8,80,0
01/01/2022 18:04,43,51,,55,56,,429,516,526,528,528,0.72,0,16.7,80,0
01/01/2022 18:19,43,51,,56,57,,427,514,526,528,529,0.73,0,16.6,81,0
01/01/2022 18:34,41,48,,52,53,,409,491,501,503,503,0.72,0,16.7,80,0
01/01/2022 18:49,41,50,,55,56,,413,498,509,511,511,0.73,0,16.6,80,0
01/01/2022 19:04,42,51,,56,57,,417,503,515,518,518,0.74,0,16.6,80,0
01/01/2022 19:19,43,52,,58,59,,424,513,526,528,529,0.74,0,16.7,80,0
01/01/2022 19:34,40,48,,53,53,,394,476,487,489,489,0.73,0,16.5,81,0
01/01/2022 19:49,37,44,,48,48,,375,450,459,461,461,0.72,0,16.5,81,0
01/01/2022 20:04,36,42,,45,46,,358,430,439,440,440,0.72,0,16.6,80,0
01/01/2022 20:19,34,40,,43,44,,345,414,422,423,423,0.71,0,16.4,80,0
01/01/2022 20:34,33,38,,41,41,,333,399,406,407,407,0.71,0,16.1,81,0
01/01/2022 20:49,31,36,,38,39,,320,382,388,389,389,0.69,0,16.3,81,0
01/01/2022 21:04,31,36,,38,39,,317,379,385,386,387,0.7,0,16.4,80,0
01/01/2022 23:24,34,42,,47,48,,347,421,432,434,434,0.74,0,14.1,90,1
01/01/2022 23:39,58,65,,68,69,,594,707,717,718,719,0.69,0,15.5,84,0
01/01/2022 23:54,79,83,,83,83,,821,968,973,973,973,0.57,0,16.0,81,0
