Serial Number,Country,Site Name,Timestamp (UTC),Longitude,Latitude,is_indoors,PM1.0 (ug/m3),PM2.5 (ug/m3),Applied PM2.5 Custom Calibration Factor,PM4.0 (ug/m3),PM10 (ug/m3),Applied PM10 Custom Calibration Factor,PM0.5 NC (#/cm3),PM1.0 NC (#/cm3),PM2.5 NC (#/cm3),PM4.0 NC (#/cm3),PM10 NC (#/cm3),Typical Particle Size (um),Temperature (Celsius),Relative Humidity (%),Time Delta,Entry Count
81432039072,Duke,Duke 3,"(2022, 3, 1, 0)",-78.938232,36.001427,False,2.3333333333333335,2.3333333333333335,,2.3333333333333335,2.3333333333333335,,18.5,21.25,21.75,21.75,21.75,0.5375000000000001,10.0,46.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 1)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,26.5,31.25,31.25,31.25,31.25,0.5275000000000001,8.45,52.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 2)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,24.25,28.5,28.75,28.75,28.75,0.5325,7.075,57.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 3)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,25.5,30.25,30.25,30.25,30.25,0.53,6.925,61.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 4)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,27.25,32.25,32.25,32.5,32.5,0.5175000000000001,6.275,67.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 5)",-78.938232,36.001427,False,3.75,3.75,,3.75,3.75,,31.0,36.5,36.5,36.5,36.5,0.515,5.9,69.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 6)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,34.75,40.5,40.75,40.75,40.75,0.5225,4.4,73.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 7)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,37.75,43.75,44.0,44.0,44.0,0.525,3.8000000000000003,74.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 8)",-78.938232,36.001427,False,4.0,4.25,,4.25,4.25,,38.25,45.0,45.0,45.0,45.0,0.52,3.775,72.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 9)",-78.938232,36.001427,False,4.0,4.75,,4.75,4.75,,39.25,45.75,46.25,46.25,46.25,0.5125,3.45,73.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 10)",-78.938232,36.001427,False,4.0,4.25,,4.25,4.25,,38.5,45.25,45.25,45.25,45.25,0.53,3.425,73.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 11)",-78.938232,36.001427,False,4.0,5.0,,5.0,5.0,,40.25,47.25,47.25,47.25,47.25,0.52,3.15,76.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 12)",-78.938232,36.001427,False,5.5,6.0,,6.0,6.0,,52.25,61.5,62.25,62.25,62.25,0.525,3.35,78.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 13)",-78.938232,36.001427,False,5.75,6.25,,6.25,6.25,,52.75,62.5,62.5,62.5,62.5,0.5175000000000001,4.75,75.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 14)",-78.938232,36.001427,False,4.0,4.25,,4.25,4.25,,35.0,41.5,41.5,41.5,41.5,0.515,7.375,63.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 15)",-78.938232,36.001427,False,3.25,3.25,,3.25,3.25,,26.5,30.75,31.25,31.25,31.25,0.5175000000000001,11.125,53.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 16)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,22.5,26.5,26.5,26.5,26.5,0.5425,14.275,43.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 17)",-78.938232,36.001427,False,2.0,2.25,,2.25,2.25,,18.0,21.0,21.25,21.25,21.25,0.5225,18.375,34.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 18)",-78.938232,36.001427,False,2.25,2.25,,2.25,2.25,,15.75,18.25,18.25,18.25,18.25,0.515,27.15,22.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 19)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,13.5,16.25,16.25,16.25,16.25,0.5175000000000001,27.8,20.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 20)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,14.5,17.25,17.25,17.25,17.25,0.5375000000000001,27.825,20.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 21)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,14.0,16.75,16.75,16.75,16.75,0.5275000000000001,26.8,20.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 22)",-78.938232,36.001427,False,2.25,2.25,,2.25,2.25,,17.75,20.75,21.0,21.0,21.0,0.5525,23.775,23.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 1, 23)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,13.75,16.0,16.0,16.0,16.0,0.5225,16.8,34.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 0)",-78.938232,36.001427,False,2.5,2.5,,2.5,2.5,,18.75,22.25,22.25,22.25,22.25,0.535,14.475,39.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 1)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,24.75,29.0,29.5,29.5,29.5,0.5225,13.225,43.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 2)",-78.938232,36.001427,False,2.25,2.5,,2.5,2.5,,19.0,22.25,22.25,22.25,22.25,0.5175000000000001,12.850000000000001,43.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 3)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,17.25,20.0,20.25,20.25,20.25,0.525,12.925,42.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 4)",-78.938232,36.001427,False,2.0,2.0,,2.0,2.0,,17.25,20.0,20.5,20.5,20.75,0.525,12.15,44.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 5)",-78.938232,36.001427,False,2.25,2.5,,2.5,2.5,,19.5,23.0,23.5,23.5,23.5,0.5175000000000001,11.3,48.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 6)",-78.938232,36.001427,False,3.25,3.5,,3.5,3.5,,27.75,32.75,33.0,33.0,33.0,0.5225,9.45,57.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 7)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,32.5,37.75,38.0,38.0,38.0,0.5275000000000001,8.125,64.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 8)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,33.75,39.75,39.75,39.75,39.75,0.5275000000000001,6.95,68.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 9)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,35.25,41.5,41.75,41.75,41.75,0.53,5.825,74.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 10)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,35.75,41.75,41.75,41.75,41.75,0.5225,6.4,72.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 11)",-78.938232,36.001427,False,4.25,4.5,,4.5,4.5,,37.5,44.0,44.0,44.0,44.0,0.525,5.375,75.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 12)",-78.938232,36.001427,False,5.0,5.0,,5.0,5.0,,44.25,51.75,52.5,52.5,52.5,0.5275000000000001,5.5,78.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 13)",-78.938232,36.001427,False,4.75,5.0,,5.0,5.0,,41.25,48.0,48.5,48.5,48.75,0.52,7.725,71.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 14)",-78.938232,36.001427,False,3.5,3.5,,3.5,3.5,,29.75,34.5,34.75,34.75,34.75,0.5275000000000001,12.075,55.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 15)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,24.25,28.5,28.5,28.5,28.5,0.535,17.3,37.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 16)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,21.25,25.25,25.5,25.5,25.5,0.555,20.4,27.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 17)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,20.75,24.25,24.5,24.5,24.5,0.5275000000000001,23.475,23.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 18)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,20.0,23.5,23.5,23.5,23.5,0.5325,29.55,17.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 19)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,21.5,25.25,25.5,25.5,25.5,0.5325,30.575,16.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 20)",-78.938232,36.001427,False,3.0,3.25,,3.25,3.25,,22.25,26.0,26.0,26.0,26.0,0.5375000000000001,29.975,17.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 21)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,20.5,23.5,23.75,23.75,23.75,0.5325,28.85,18.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 22)",-78.938232,36.001427,False,2.5,3.0,,3.0,3.0,,19.0,22.25,22.25,22.25,22.25,0.52,26.775,21.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 2, 23)",-78.938232,36.001427,False,4.25,4.5,,4.5,4.5,,33.75,39.25,39.5,39.5,39.5,0.525,20.625,28.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 0)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,31.75,37.25,37.25,37.25,37.25,0.53,17.875,34.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 1)",-78.938232,36.001427,False,3.25,3.5,,3.5,3.5,,26.5,31.0,31.25,31.25,31.25,0.53,17.0,36.75,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 2)",-78.938232,36.001427,False,3.0,3.25,,3.25,3.25,,26.25,31.25,31.25,31.25,31.25,0.5275000000000001,16.125,38.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 3)",-78.938232,36.001427,False,3.0,3.5,,3.5,3.5,,26.5,31.25,31.5,31.5,31.5,0.535,15.65,39.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 4)",-78.938232,36.001427,False,3.5,4.0,,4.0,4.0,,29.0,34.0,34.5,34.5,34.5,0.5275000000000001,13.7,44.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 5)",-78.938232,36.001427,False,3.5,4.0,,4.0,4.0,,29.0,34.0,34.25,34.25,34.25,0.5225,13.2,46.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 6)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,33.5,39.5,39.5,39.5,39.5,0.525,11.7,52.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 7)",-78.938232,36.001427,False,4.75,5.0,,5.0,5.0,,41.0,48.25,48.75,48.75,48.75,0.525,11.025,55.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 8)",-78.938232,36.001427,False,7.0,7.25,,7.25,7.25,,58.25,68.75,68.75,68.75,68.75,0.5325,11.3,56.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 9)",-78.938232,36.001427,False,5.25,5.25,,5.25,5.25,,44.25,51.75,52.25,52.25,52.25,0.5425,11.35,55.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 10)",-78.938232,36.001427,False,5.0,5.5,,5.5,5.5,,43.0,50.25,50.75,50.75,50.75,0.5375000000000001,11.35,55.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 11)",-78.938232,36.001427,False,5.0,5.0,,5.0,5.0,,39.0,45.75,46.5,46.5,46.5,0.5325,11.95,52.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 12)",-78.938232,36.001427,False,4.25,4.5,,4.5,4.5,,35.75,41.5,41.75,41.75,41.75,0.54,13.05,50.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 13)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,29.5,34.5,34.75,34.75,34.75,0.5375000000000001,15.575,45.25,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 14)",-78.938232,36.001427,False,2.75,3.0,,3.0,3.0,,22.5,26.25,26.5,26.5,26.5,0.53,18.175,41.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 15)",-78.938232,36.001427,False,2.25,2.75,,2.75,2.75,,18.5,21.75,21.75,21.75,21.75,0.5275000000000001,24.275,28.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 16)",-78.938232,36.001427,False,3.0,3.0,,3.0,3.0,,21.75,25.5,25.75,25.75,25.75,0.525,26.925,21.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 17)",-78.938232,36.001427,False,3.0,3.5,,3.5,3.5,,24.25,28.25,28.25,28.25,28.25,0.5125,28.05,19.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 18)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,26.0,30.5,30.5,30.75,30.75,0.5125,32.2,16.5,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 19)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,27.75,32.75,32.75,32.75,32.75,0.515,32.9,16.0,15.0,4.0
81432039072,Duke,Duke 3,"(2022, 3, 3, 20)",-78.938232,36.001427,False,4.0,4.0,,4.0,4.0,,28.0,33.0,33.0,33.25,33.25,0.52,34.025,15.25,15.0,4.0
